session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,task1_name,task1_description,task2_name,task2_description,task3_name,task3_description,task4_name,task4_description,context_setting,context_state,vol_id
6961,NA,2014-07-15,EXCERPTS,110,2009-12-23,Female,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6962,NA,2014-07-16,EXCERPTS,111,2010-08-20,Male,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6964,NA,2014-07-16,EXCERPTS,112,2009-12-07,Male,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6965,NA,2014-07-16,EXCERPTS,113,2009-12-19,Male,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6966,NA,2014-07-22,EXCERPTS,114,2010-06-01,Male,NA,NA,NA,NA,NA,NA,NA,NA,Lab,AZ,98
6967,NA,2014-07-23,EXCERPTS,115,2010-06-11,Female,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6968,NA,2014-07-23,EXCERPTS,116,NA,Male,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6970,NA,2014-06-10,EXCERPTS,101,2010-07-28,Male,3 Neutral Box,3 option unexpected contents with neutral box,3 Typical Box,3 option unexpected contents with typical box,2 Typical Box,Standard two option typical box task,3 Location,3 option unexpected location task,Lab,AZ,98
6971,NA,2014-06-12,EXCERPTS,102,2009-08-06,Female,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6972,NA,2014-06-13,EXCERPTS,103,2010-03-04,Male,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6973,NA,2014-06-13,EXCERPTS,104,2009-06-01,Male,3 Neutral Box,3 option unexpected contents with neutral box,3 Typical Box,3 option unexpected contents with typical box,2 Typical Box,Standard two option typical box task,3 Location,3 option unexpected location task,Lab,AZ,98
6974,NA,2014-06-17,EXCERPTS,105,2010-08-27,Male,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6975,NA,2014-06-17,EXCERPTS,106,2009-08-01,Female,3 Neutral Box,3 option unexpected contents with neutral box,3 Typical Box,3 option unexpected contents with typical box,2 Typical Box,Standard two option typical box task,3 Location,3 option unexpected location task,Lab,AZ,98
6976,NA,2014-06-27,EXCERPTS,107,2010-03-01,Female,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6977,NA,2014-06-27,EXCERPTS,108,2009-12-01,Female,3 Neutral Box,3 option unexpected contents with neutral box,3 Typical Box,3 option unexpected contents with typical box,2 Typical Box,Standard two option typical box task,3 Location,3 option unexpected location task,Lab,AZ,98
6978,NA,2014-07-02,EXCERPTS,109,2010-01-05,Male,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6979,NA,2014-07-23,EXCERPTS,117,2009-12-14,Male,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6980,NA,2014-XX-XX,PRIVATE,301,NA,Male,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
6981,NA,2014-09-22,SHARED,302,2009-08-11,Female,3 Typical Box,3 option unexpected contents with typical box,3 Location,3 option unexpected location task,3 Neutral Box,3 option unexpected contents with neutral box,2 Typical Box,Standard two option typical box task,Lab,AZ,98
6982,NA,2014-09-24,EXCERPTS,303,2010-05-27,Female,2 Typical Box,Standard two option typical box task,3 Neutral Box,3 option unexpected contents with neutral box,3 Location,3 option unexpected location task,3 Typical Box,3 option unexpected contents with typical box,Lab,AZ,98
