session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,context_setting,context_language,context_country,context_state,vol_id
53419,01,NA,EXCERPTS,01,2014-05-19,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53420,02,NA,EXCERPTS,02,2014-05-29,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53421,03,NA,EXCERPTS,03,2014-06-22,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53422,04,NA,EXCERPTS,04,2014-06-26,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53424,05,NA,EXCERPTS,05,2014-06-22,Male,Black or African American,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53425,06,NA,EXCERPTS,06,2014-07-03,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53426,07,NA,EXCERPTS,07,2014-06-30,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53427,08,NA,SHARED,08,2014-07-02,Female,More than one,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53428,09,NA,EXCERPTS,09,2014-07-09,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53429,10,NA,SHARED,10,2014-07-11,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53430,11,NA,EXCERPTS,11,2014-07-22,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53431,12,NA,EXCERPTS,12,2014-07-31,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53432,13,NA,EXCERPTS,13,2014-08-03,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53433,14,NA,EXCERPTS,14,2014-08-09,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53434,15,NA,SHARED,15,2014-08-14,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53466,16,NA,EXCERPTS,16,2014-08-28,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53467,17,NA,EXCERPTS,17,2014-09-09,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53468,18,NA,EXCERPTS,18,2014-09-04,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53469,19,NA,EXCERPTS,19,2014-09-13,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53470,20,NA,EXCERPTS,20,2014-09-22,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53471,21,NA,EXCERPTS,21,2014-10-02,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53472,22,NA,EXCERPTS,22,2014-10-07,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53473,23,NA,EXCERPTS,23,2014-10-04,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53474,24,NA,EXCERPTS,24,2014-10-17,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53475,25,NA,EXCERPTS,25,2014-10-22,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53476,26,NA,EXCERPTS,26,2014-10-30,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53477,27,NA,EXCERPTS,27,2014-11-03,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53478,28,NA,EXCERPTS,28,2014-11-02,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53479,29,NA,EXCERPTS,29,2014-11-07,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53480,30,NA,EXCERPTS,30,2014-11-13,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53481,31,NA,EXCERPTS,31,2014-11-20,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53482,32,NA,EXCERPTS,32,2014-11-20,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53483,33,NA,EXCERPTS,33,2014-11-24,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53484,34,NA,EXCERPTS,34,2014-11-23,Male,More than one,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53485,35,NA,EXCERPTS,35,2014-12-15,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53486,36,NA,EXCERPTS,36,2014-12-07,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53487,37,NA,EXCERPTS,37,2014-12-08,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53488,38,NA,EXCERPTS,38,2014-12-06,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53489,39,NA,EXCERPTS,39,2014-12-16,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53490,40,NA,EXCERPTS,40,2014-12-18,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53491,41,NA,EXCERPTS,41,2014-12-26,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53492,42,NA,EXCERPTS,42,2014-12-26,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53493,43,NA,SHARED,43,2015-01-06,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53494,44,NA,EXCERPTS,44,2015-01-31,Female,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
53495,45,NA,EXCERPTS,45,2015-01-29,Male,White,Hispanic or Latino,typical,English,Home,English,US,NY,694
53496,46,NA,SHARED,46,2015-01-29,Male,White,Not Hispanic or Latino,typical,English,Home,English,US,NY,694
