session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,group_name,context_setting,context_language,context_country,context_state,vol_id
54306,NA,2013-05-03,EXCERPTS,33,2011-11-24,Female,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54307,NA,2013-11-18,EXCERPTS,56,2012-06-18,Male,Asian,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54308,NA,2013-11-20,EXCERPTS,57,2012-06-30,Female,More than one,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54309,NA,2014-01-23,EXCERPTS,58,2012-08-15,Male,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54310,NA,2014-02-04,EXCERPTS,59,2012-09-04,Male,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54311,NA,2014-03-11,EXCERPTS,60,2012-10-15,Female,More than one,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54312,NA,2014-06-06,EXCERPTS,62,2012-12-07,Male,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54313,NA,2014-06-18,EXCERPTS,64,2013-01-11,Female,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54314,NA,2014-06-18,EXCERPTS,65,2012-12-29,Male,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54315,NA,2014-06-24,EXCERPTS,66,2013-02-07,Male,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54316,NA,2014-08-04,EXCERPTS,67,2013-03-08,Male,Unknown or not reported,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54317,NA,2014-08-11,EXCERPTS,68,2013-03-07,Male,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54318,NA,2014-08-12,EXCERPTS,69,2013-03-27,Female,More than one,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54319,NA,2014-08-25,EXCERPTS,71,2013-03-25,Male,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54320,NA,2014-09-03,EXCERPTS,72,2013-03-28,Male,Unknown or not reported,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54321,NA,2014-11-17,EXCERPTS,74,2013-06-24,Male,More than one,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54322,NA,2014-11-25,EXCERPTS,76,2013-06-06,Female,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54323,NA,2014-12-02,EXCERPTS,77,2013-06-24,Male,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54324,NA,2014-12-02,EXCERPTS,78,2013-06-19,Female,White,Not Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54325,NA,2014-12-03,EXCERPTS,79,2013-06-22,Female,White,Hispanic or Latino,typical,English,17 month olds,Lab,English,US,NY,1312
54326,NA,2013-06-05,EXCERPTS,1204,2012-04-30,Male,White,Not Hispanic or Latino,typical,English,13 month olds,Lab,English,US,NY,1312
54327,NA,2013-08-26,SHARED,1210,2012-08-14,Male,White,Not Hispanic or Latino,typical,English,13 month olds,Lab,English,US,NY,1312
54328,NA,2014-05-28,EXCERPTS,1216,2013-04-30,Male,White,Not Hispanic or Latino,typical,English,13 month olds,Lab,English,US,NY,1312
54329,NA,2014-06-06,EXCERPTS,1217,2013-05-21,Male,More than one,Hispanic or Latino,typical,English,13 month olds,Lab,English,US,NY,1312
54330,NA,2014-XX-XX,PRIVATE,1220,NA,Male,White,Not Hispanic or Latino,typical,English,13 month olds,Lab,English,US,NY,1312
54331,NA,2014-08-20,EXCERPTS,1222,2013-07-29,Female,White,Not Hispanic or Latino,typical,English,13 month olds,Lab,English,US,NY,1312
