id,name,owners,permission,doi,n_sessions,vid_hrs,n_assets
8,"Language, cognitive, and socio-emotional skills from 9 months until their transition to first grade in U.S. children from African-American, Dominican, Mexican, and Chinese backgrounds","Tamis-LeMonda, Catherine",2,https://doi.org/10.17910/B7CC74,4368,875.8303308333333,4368
81,Natural Scene Statistics of Visual Experience Across Development and Culture,"Jayaraman, Swapnaa; Smith, Linda B.; Raudies, Florian; Gilmore, Rick O.",5,https://doi.org/10.17910/B7988V,1422,328.35567555555554,1422
90,"Word-minimality, Epenthesis and Coda Licensing in the Early Acquisition of English","Demuth, Katherine",2,https://doi.org/10.17910/B7B885,315,302.9645605555556,315
140,It’s the journey not the destination: Locomotor exploration in infants,"Adolph, Karen",3,https://doi.org/10.17910/B7.140,499,181.76054555555555,499
5,No bridge too high: Infants decide whether to cross based on the probability of falling not the severity of the potential fall,"Adolph, Karen",3,https://doi.org/10.17910/B7MW2K,138,108.29642833333334,138
84,Motor decisions are not black and white: Selecting actions in the “gray zone”,"Adolph, Karen",3,https://doi.org/10.17910/B7.84,102,75.04354694444444,102
1,Databrary sponsored workshops and events,"Adolph, Karen; Gilmore, Rick O.; Staff",5,https://doi.org/10.17910/B7159Q,75,70.14679055555555,75
114,The development of tool use: Planning for end-state comfort.,"Adolph, Karen",3,https://doi.org/10.17910/B7.114,201,61.78861222222222,201
162,"Visual, manual, and postural coordination in the development of prehension","Adolph, Karen",3,https://doi.org/10.17910/B7.162,94,58.86248277777778,94
330,SEEDLingS 6 Month,"Bergelson, Elika",2,https://doi.org/10.17910/B7.330,45,44.41687861111111,45
338,SEEDLingS 7 Month,"Bergelson, Elika",2,https://doi.org/10.17910/B7.338,44,43.77854722222222,44
709,XXI ICIS 2018 Philadelphia Invited Program,"International Congress on Infant Studies (ICIS); Hirsh-Pasek, Kathy; Golinkoff, Roberta; Oakes, Lisa; Barr, Rachel; Kennedy, Joy Lorenzo; Saffran, Jenny; Lakusta, Laura",2,https://doi.org/10.17910/B7.709,48,34.740186666666666,48
163,What cruising infants understand about support for locomotion,"Adolph, Karen",3,https://doi.org/10.17910/B7.163,75,33.90482611111111,75
136,What infants know and what they do: Perceiving possibilities for walking through openings.,"Adolph, Karen",3,https://doi.org/10.17910/B7.136,55,33.482254166666664,55
7,Ledge and wedge: Younger and older adults' perception of action possibilities,"Adolph, Karen",3,https://doi.org/10.17910/B7H592,56,28.91962138888889,56
239,XX ICIS 2016 New Orleans Invited Program,"Oakes, Lisa; Casasola, Marianella; LoBue, Vanessa; International Congress on Infant Studies (ICIS)",2,https://doi.org/10.17910/B7.239,24,28.22492638888889,24
123,Active vision in passive locomotion: Real-world free viewing in infants and adults,"Adolph, Karen",3,https://doi.org/10.17910/B7.123,110,27.952005555555555,110
