vol_id,person_id,sortname,prename
1,5,Adolph,Karen
1,6,Gilmore,Rick O.
1,3341,Admin,Databrary
2,6,Gilmore,Rick O.
4,5,Adolph,Karen
5,5,Adolph,Karen
7,5,Adolph,Karen
8,11,Tamis-LeMonda,Catherine
9,5,Adolph,Karen
10,20,Gordon,Peter
11,5,Adolph,Karen
11,11,Tamis-LeMonda,Catherine
11,32,Karasik,Lana
15,70,Messinger,Daniel
16,5,Adolph,Karen
16,80,Shapiro,Liza
23,6,Gilmore,Rick O.
24,5,Adolph,Karen
27,245,Wilkinson,Krista
28,5,Adolph,Karen
29,93,Johnson,Scott
30,82,LoBue,Vanessa
30,346,Thrasher,Cat
31,6,Gilmore,Rick O.
32,6,Gilmore,Rick O.
33,258,Frank,Michael C.
34,258,Frank,Michael C.
35,258,Frank,Michael C.
36,258,Frank,Michael C.
37,258,Frank,Michael C.
38,258,Frank,Michael C.
42,161,Smith,Linda B.
43,274,Saffran,Jenny
44,279,Naigles,Letitia
45,277,Rhodes,Marjorie
46,60,Vishton,Peter
47,288,Fabricius,William
49,6,Gilmore,Rick O.
50,294,Bertenthal,Bennett I.
51,294,Bertenthal,Bennett I.
53,294,Bertenthal,Bennett I.
61,264,DeLoache,Judy
62,297,Amso,Dima
64,118,Needham,Amy
65,313,Brannon,Elizabeth M
68,6,Gilmore,Rick O.
70,332,Baker,David
73,6,Gilmore,Rick O.
73,437,Seisler,Andrea
73,4210,Qian,Yiming
75,6,Gilmore,Rick O.
77,6,Gilmore,Rick O.
77,378,Norcia,Anthony M.
79,273,Wyble,Brad
81,6,Gilmore,Rick O.
81,161,Smith,Linda B.
81,254,Jayaraman,Swapnaa
83,5,Adolph,Karen
84,5,Adolph,Karen
86,5,Adolph,Karen
89,5,Adolph,Karen
90,537,Demuth,Katherine
95,313,Brannon,Elizabeth M
96,313,Brannon,Elizabeth M
98,288,Fabricius,William
99,126,Fausey,Caitlin M.
99,161,Smith,Linda B.
99,254,Jayaraman,Swapnaa
101,258,Frank,Michael C.
108,70,Messinger,Daniel
109,325,Carlsen,William
112,126,Fausey,Caitlin M.
112,161,Smith,Linda B.
112,254,Jayaraman,Swapnaa
114,5,Adolph,Karen
116,5,Adolph,Karen
116,6,Gilmore,Rick O.
116,14,Franchak,John
116,160,Raudies,Florian
119,96,Perez-Edgar,Koraly
121,5,Adolph,Karen
123,5,Adolph,Karen
124,5,Adolph,Karen
135,5,Adolph,Karen
135,14,Franchak,John
136,5,Adolph,Karen
139,111,Sobel,David
139,562,Weisberg,Deena Skolnick
140,5,Adolph,Karen
140,412,Hoch,Justine
149,562,Weisberg,Deena Skolnick
150,562,Weisberg,Deena Skolnick
162,5,Adolph,Karen
163,5,Adolph,Karen
165,798,Cordes,Sara
171,562,Weisberg,Deena Skolnick
174,314,Blumberg,Mark
174,1317,Sokoloff,Greta
184,562,Weisberg,Deena Skolnick
192,5,Adolph,Karen
192,14,Franchak,John
193,5,Adolph,Karen
194,5,Adolph,Karen
204,3341,Admin,Databrary
207,562,Weisberg,Deena Skolnick
209,624,Horst,Jessica S.
212,249,Buss,Kristin A
214,1719,Fawcett,Christine
217,5,Adolph,Karen
218,6,Gilmore,Rick O.
226,5,Adolph,Karen
226,11,Tamis-LeMonda,Catherine
226,32,Karasik,Lana
234,1280,Brooker,Rebecca Jo
235,258,Frank,Michael C.
236,120,Yu,Chen
239,82,LoBue,Vanessa
239,538,Oakes,Lisa
239,650,Casasola,Marianella
241,288,Fabricius,William
241,289,Gonzales,Christopher R
248,6,Gilmore,Rick O.
248,96,Perez-Edgar,Koraly
248,252,Scherf,Kathryn Suzanne
248,3648,Cole,Pamela M
248,6688,Vigeant,Michelle Celine
252,2219,Shirai,Nobu
253,111,Sobel,David
253,562,Weisberg,Deena Skolnick
254,5,Adolph,Karen
254,6,Gilmore,Rick O.
254,11,Tamis-LeMonda,Catherine
254,406,Soska,Kasey C.
268,161,Smith,Linda B.
269,111,Sobel,David
269,562,Weisberg,Deena Skolnick
270,2219,Shirai,Nobu
271,5,Adolph,Karen
271,11,Tamis-LeMonda,Catherine
271,32,Karasik,Lana
272,252,Scherf,Kathryn Suzanne
272,525,Motta-Mena,Natalie V.
273,2173,Bonawitz,Elizabeth
297,1889,Nonaka,Tetsushi
302,252,Scherf,Kathryn Suzanne
302,1838,Elbich,Daniel B.
303,2173,Bonawitz,Elizabeth
308,562,Weisberg,Deena Skolnick
321,5,Adolph,Karen
321,1526,Ossmy,Ori
324,6,Gilmore,Rick O.
324,378,Norcia,Anthony M.
324,3043,Liu,Yanxi
326,376,Bahrick,Lorraine E.
326,407,Todd,James Torrence
327,96,Perez-Edgar,Koraly
327,617,Fu,Xiaoxue
330,61,Bergelson,Elika
335,61,Bergelson,Elika
336,376,Bahrick,Lorraine E.
336,407,Todd,James Torrence
338,61,Bergelson,Elika
339,6,Gilmore,Rick O.
339,96,Perez-Edgar,Koraly
