vol_id,url,tags,weight
1,https://nyu.databrary.org/volume/1,icis,1
1,https://nyu.databrary.org/volume/1,icis nola,1
1,https://nyu.databrary.org/volume/1,workshops,1
1,https://nyu.databrary.org/volume/1,meetings,1
1,https://nyu.databrary.org/volume/1,talk,1
1,https://nyu.databrary.org/volume/1,presentations,1
2,https://nyu.databrary.org/volume/2,motion,1
2,https://nyu.databrary.org/volume/2,adult,1
3,https://nyu.databrary.org/volume/3,NA,NA
4,https://nyu.databrary.org/volume/4,locomotion,1
4,https://nyu.databrary.org/volume/4,motor development,1
4,https://nyu.databrary.org/volume/4,materials,1
4,https://nyu.databrary.org/volume/4,coding,1
4,https://nyu.databrary.org/volume/4,manuals,1
4,https://nyu.databrary.org/volume/4,protocols,1
4,https://nyu.databrary.org/volume/4,infants,1
5,https://nyu.databrary.org/volume/5,locomotion,1
5,https://nyu.databrary.org/volume/5,infants,1
5,https://nyu.databrary.org/volume/5,manuals,1
5,https://nyu.databrary.org/volume/5,coding,1
5,https://nyu.databrary.org/volume/5,bridges,1
6,https://nyu.databrary.org/volume/6,NA,NA
7,https://nyu.databrary.org/volume/7,locomotion,1
7,https://nyu.databrary.org/volume/7,perception,1
7,https://nyu.databrary.org/volume/7,judgments,1
7,https://nyu.databrary.org/volume/7,adult,1
7,https://nyu.databrary.org/volume/7,affordances,1
7,https://nyu.databrary.org/volume/7,apertures,1
7,https://nyu.databrary.org/volume/7,manuals,1
7,https://nyu.databrary.org/volume/7,coding,1
7,https://nyu.databrary.org/volume/7,falling,1
8,https://nyu.databrary.org/volume/8,infants,2
8,https://nyu.databrary.org/volume/8,cognitive,2
8,https://nyu.databrary.org/volume/8,parent-child interaction,2
8,https://nyu.databrary.org/volume/8,emotional,2
8,https://nyu.databrary.org/volume/8,grocery shopping,1
8,https://nyu.databrary.org/volume/8,longitudinal,1
8,https://nyu.databrary.org/volume/8,language,1
8,https://nyu.databrary.org/volume/8,gender,1
8,https://nyu.databrary.org/volume/8,culture,1
8,https://nyu.databrary.org/volume/8,social,1
8,https://nyu.databrary.org/volume/8,play,1
8,https://nyu.databrary.org/volume/8,children,1
8,https://nyu.databrary.org/volume/8,cross-cultural research,1
8,https://nyu.databrary.org/volume/8,book reading,1
8,https://nyu.databrary.org/volume/8,free play,1
8,https://nyu.databrary.org/volume/8,school readiness,1
9,https://nyu.databrary.org/volume/9,children,2
9,https://nyu.databrary.org/volume/9,free play,1
9,https://nyu.databrary.org/volume/9,social,1
9,https://nyu.databrary.org/volume/9,motion,1
10,https://nyu.databrary.org/volume/10,numerical cognition,2
10,https://nyu.databrary.org/volume/10,adult-child interaction,1
10,https://nyu.databrary.org/volume/10,infants,1
10,https://nyu.databrary.org/volume/10,cross-cultural research,1
10,https://nyu.databrary.org/volume/10,amazon,1
11,https://nyu.databrary.org/volume/11,NA,NA
12,https://nyu.databrary.org/volume/12,NA,NA
13,https://nyu.databrary.org/volume/13,NA,NA
14,https://nyu.databrary.org/volume/14,NA,NA
15,https://nyu.databrary.org/volume/15,still-face,2
15,https://nyu.databrary.org/volume/15,attachment,1
15,https://nyu.databrary.org/volume/15,coding,1
15,https://nyu.databrary.org/volume/15,manuals,1
15,https://nyu.databrary.org/volume/15,expressions,1
15,https://nyu.databrary.org/volume/15,infants,1
16,https://nyu.databrary.org/volume/16,adult,1
16,https://nyu.databrary.org/volume/16,walking,1
16,https://nyu.databrary.org/volume/16,uner tan syndrome,1
16,https://nyu.databrary.org/volume/16,quadrupedalism,1
17,https://nyu.databrary.org/volume/17,NA,NA
18,https://nyu.databrary.org/volume/18,NA,NA
19,https://nyu.databrary.org/volume/19,NA,NA
20,https://nyu.databrary.org/volume/20,NA,NA
21,https://nyu.databrary.org/volume/21,NA,NA
22,https://nyu.databrary.org/volume/22,NA,NA
23,https://nyu.databrary.org/volume/23,locomotion,1
23,https://nyu.databrary.org/volume/23,adult,1
23,https://nyu.databrary.org/volume/23,infants,1
23,https://nyu.databrary.org/volume/23,optic flow,1
24,https://nyu.databrary.org/volume/24,locomotion,1
24,https://nyu.databrary.org/volume/24,visual cliff,1
24,https://nyu.databrary.org/volume/24,infants,1
24,https://nyu.databrary.org/volume/24,posture,1
25,https://nyu.databrary.org/volume/25,NA,NA
26,https://nyu.databrary.org/volume/26,NA,NA
27,https://nyu.databrary.org/volume/27,eye-tracking technology,3
27,https://nyu.databrary.org/volume/27,visual scene displays,2
27,https://nyu.databrary.org/volume/27,visual processing,2
27,https://nyu.databrary.org/volume/27,stimuli,1
27,https://nyu.databrary.org/volume/27,materials,1
27,https://nyu.databrary.org/volume/27,visual attention,1
28,https://nyu.databrary.org/volume/28,locomotion,1
28,https://nyu.databrary.org/volume/28,slopes,1
28,https://nyu.databrary.org/volume/28,infants,1
29,https://nyu.databrary.org/volume/29,eye-tracking,2
29,https://nyu.databrary.org/volume/29,visual development,1
29,https://nyu.databrary.org/volume/29,infants,1
29,https://nyu.databrary.org/volume/29,perception,1
30,https://nyu.databrary.org/volume/30,faces,8
30,https://nyu.databrary.org/volume/30,facial expressions,7
30,https://nyu.databrary.org/volume/30,emotions,7
30,https://nyu.databrary.org/volume/30,expressions,6
30,https://nyu.databrary.org/volume/30,condition,2
30,https://nyu.databrary.org/volume/30,cafe,2
30,https://nyu.databrary.org/volume/30,white,2
30,https://nyu.databrary.org/volume/30,stimuli,2
30,https://nyu.databrary.org/volume/30,children,1
31,https://nyu.databrary.org/volume/31,locomotion,1
31,https://nyu.databrary.org/volume/31,optic flow,1
31,https://nyu.databrary.org/volume/31,infants,1
32,https://nyu.databrary.org/volume/32,motion coherence,1
32,https://nyu.databrary.org/volume/32,visual evoked potentials,1
32,https://nyu.databrary.org/volume/32,infants,1
32,https://nyu.databrary.org/volume/32,stimuli,1
32,https://nyu.databrary.org/volume/32,infant vision,1
32,https://nyu.databrary.org/volume/32,visual development,1
33,https://nyu.databrary.org/volume/33,visual cognition,2
33,https://nyu.databrary.org/volume/33,number,2
33,https://nyu.databrary.org/volume/33,children,1
33,https://nyu.databrary.org/volume/33,mental arithmetic,1
33,https://nyu.databrary.org/volume/33,working memory,1
33,https://nyu.databrary.org/volume/33,abacus,1
34,https://nyu.databrary.org/volume/34,social development,2
34,https://nyu.databrary.org/volume/34,face perception,1
34,https://nyu.databrary.org/volume/34,eye-tracking,1
34,https://nyu.databrary.org/volume/34,infants,1
34,https://nyu.databrary.org/volume/34,materials,1
35,https://nyu.databrary.org/volume/35,cross-cultural research,2
35,https://nyu.databrary.org/volume/35,language and thought,1
35,https://nyu.databrary.org/volume/35,numerical cognition,1
35,https://nyu.databrary.org/volume/35,indigenous peoples,1
35,https://nyu.databrary.org/volume/35,number,1
35,https://nyu.databrary.org/volume/35,language development,1
36,https://nyu.databrary.org/volume/36,cognitive,2
36,https://nyu.databrary.org/volume/36,faces,1
36,https://nyu.databrary.org/volume/36,social attention,1
36,https://nyu.databrary.org/volume/36,stimuli,1
